t_rel_s,x,y,z,qx,qy,qz,qw
3.6494,0.153661,0.542864,0.478832,0.115259,0.992709,-0.031378,0.016123
3.6591,0.153484,0.543772,0.477862,0.114732,0.992759,-0.031791,0.015994
3.6693,0.153294,0.544626,0.476944,0.114274,0.992802,-0.032193,0.015808
3.6794,0.153131,0.545453,0.476071,0.113848,0.992841,-0.032540,0.015682
3.6892,0.152980,0.546275,0.475182,0.113437,0.992878,-0.032928,0.015521
3.6990,0.152805,0.547080,0.474374,0.113019,0.992917,-0.033254,0.015393
3.7094,0.152631,0.547853,0.473603,0.112606,0.992955,-0.033573,0.015241
3.7192,0.152535,0.548661,0.472761,0.112253,0.992984,-0.033962,0.015106
3.7293,0.152411,0.549434,0.471947,0.111888,0.993014,-0.034354,0.014946
3.7391,0.152306,0.550227,0.471163,0.111521,0.993045,-0.034710,0.014800
3.7494,0.152236,0.550960,0.470398,0.111210,0.993068,-0.035109,0.014659
3.7593,0.152192,0.551684,0.469684,0.110897,0.993093,-0.035474,0.014507
3.7693,0.152162,0.552357,0.469051,0.110644,0.993111,-0.035790,0.014374
3.7792,0.152185,0.552965,0.468487,0.110414,0.993128,-0.036070,0.014277
3.7915,0.152181,0.553509,0.468067,0.110205,0.993145,-0.036274,0.014198
3.8015,0.152178,0.554033,0.467741,0.110041,0.993162,-0.036335,0.014153
3.8134,0.152177,0.554455,0.467565,0.109926,0.993176,-0.036314,0.014118
3.8236,0.152182,0.554846,0.467501,0.109845,0.993189,-0.036196,0.014129
3.8362,0.152146,0.555180,0.467602,0.109763,0.993207,-0.035931,0.014176
3.8426,0.152160,0.555490,0.467811,0.109714,0.993224,-0.035564,0.014275
3.8527,0.152142,0.555759,0.468133,0.109682,0.993242,-0.035102,0.014393
3.8671,0.152141,0.556013,0.468518,0.109688,0.993259,-0.034557,0.014539
3.8770,0.152128,0.556207,0.468873,0.109703,0.993272,-0.034062,0.014670
3.8859,0.152099,0.556529,0.469484,0.109732,0.993297,-0.033149,0.014895
3.8955,0.152080,0.556788,0.470021,0.109806,0.993312,-0.032339,0.015087
3.9020,0.152018,0.557056,0.470573,0.109867,0.993331,-0.031458,0.015290
3.9140,0.151950,0.557314,0.471143,0.109939,0.993349,-0.030510,0.015490
3.9241,0.151908,0.557528,0.471568,0.110038,0.993358,-0.029763,0.015649
3.9323,0.151793,0.557828,0.472204,0.110150,0.993376,-0.028618,0.015863
3.9423,0.151687,0.558058,0.472665,0.110223,0.993391,-0.027742,0.016014
3.9539,0.151589,0.558270,0.473082,0.110312,0.993401,-0.026945,0.016147
3.9616,0.151450,0.558478,0.473426,0.110357,0.993413,-0.026221,0.016257
3.9712,0.151297,0.558685,0.473790,0.110356,0.993430,-0.025484,0.016386
3.9806,0.151102,0.558917,0.474131,0.110313,0.993452,-0.024737,0.016486
3.9911,0.150850,0.559193,0.474463,0.110165,0.993484,-0.023994,0.016651
4.0005,0.150491,0.559561,0.474773,0.109911,0.993529,-0.023202,0.016773
4.0104,0.150089,0.559975,0.475042,0.109565,0.993582,-0.022423,0.016929
4.0202,0.149625,0.560439,0.475296,0.109125,0.993645,-0.021657,0.017097
4.0298,0.149125,0.560916,0.475555,0.108657,0.993710,-0.020877,0.017263
4.0401,0.148632,0.561436,0.475709,0.108163,0.993775,-0.020204,0.017412
4.0497,0.148140,0.561999,0.475735,0.107619,0.993843,-0.019688,0.017532
4.0599,0.147514,0.562755,0.475604,0.106872,0.993931,-0.019256,0.017585
4.0701,0.146908,0.563622,0.475281,0.106117,0.994017,-0.018987,0.017553
4.0796,0.146284,0.564661,0.474740,0.105245,0.994112,-0.018899,0.017519
